name,price,Actualprice
"Samsung Galaxy S10 (Prism White, 512 GB)","₹76,900","₹92,000"
"Samsung Galaxy Note 9 (Midnight Black, 512 GB)","₹77,900","₹93,000"
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)","₹77,900","₹93,000"
"Samsung Galaxy Note 9 (Ocean Blue, 512 GB)","₹77,900","₹93,000"
"Samsung Galaxy S10 Plus (Ceramic Black, 512 GB)","₹91,900","₹99,000"
"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)","₹1,17,900","₹1,29,000"
"Samsung Galaxy Trend (Midnight Black, 4 GB)","₹1,076",
Samsung GT 1200 R/I/M,"₹1,099",
"Samsung Galaxy S Duos 3 (Ceramic White, 4 GB)","₹1,247","₹6,048"
Samsung Sm-B110E/D,"₹1,444",
Samsung Guru E1207T,"₹1,560",
Samsung Metro B312E Dual Sim - White,"₹1,599",
Samsung Guru Music 2,"₹1,789","₹1,950"
Samsung Guru E1282,"₹1,898",
,,
,,
,,
,,
Samsung Metro XL,"₹3,380",
Samsung Metro Duos,"₹3,381",
Samsung Metro Duos,"₹3,382",
Samsung Rex 60,"₹3,400",
Samsung Champ Neo Duos,"₹3,482",
"Samsung Galaxy Star Advance (Black, 4 GB)","₹3,500","₹6,500"
"Samsung Galaxy Star (Ceramic White, 4 GB)","₹3,599",
Samsung Metro 360,"₹3,629",
"Samsung Z1 (White, 4 GB)","₹3,990",
"Samsung Z1 (Black, 4 GB)","₹3,990",
Samsung C3520,"₹3,999",
"Samsung Galaxy Star Pro (White, 4 GB)","₹4,199",
"Samsung Z1 (Wine Red, 4096 MB)","₹4,290",
"Samsung Galaxy Star Pro (Midnight Black, 4 GB)","₹4,490",
"Samsung Galaxy J1 Ace (White, 4 GB)","₹4,499",
Samsung Guru FM Plus,"₹4,500",
"Samsung Galaxy J1 Ace (Black, 4 GB)","₹4,549",
"Samsung Galaxy Star (Noble Black, 4 GB)","₹4,709",
"Samsung Z2 (Black, 8 GB)","₹4,790",
"Samsung Z2 (Gold, 8 GB)","₹4,790",
"Samsung Galaxy Star (Silver, 4 GB)","₹4,828",
"Samsung Galaxy Trend (Ceramic White, 4 GB)","₹4,999",
"Samsung Tizen Z3 (Black, 8 GB)","₹4,999",
"Samsung Tizen Z3 (Gold, 8 GB)","₹4,999",
,,
,,
,,
,,
"Samsung Galaxy S Duos 2 (Pure White, 4 GB)","₹5,999",
"Samsung Galaxy Grand Neo Plus (White, 8 GB)","₹5,999",
"Samsung Galaxy Grand Neo Plus (Midnight Black, 8 GB)","₹5,999",
"Samsung Galaxy Grand Quattro (Titan Gray, 8 GB)","₹5,999",
"Samsung Galaxy S Duos 2 (Black, 4 GB)","₹5,999",
"Samsung Galaxy J1 (4G) (Black, 8 GB)","₹6,099",
"Samsung Galaxy J1 Ace (Blue, 4 GB)","₹6,200",
"Samsung Galaxy J1 (Black, 4 GB)","₹6,690",
"Samsung Galaxy J1 (White, 4 GB)","₹6,690",
"Samsung Galaxy Core Prime (Silver, 8 GB)","₹6,969",
"Samsung Galaxy On5 (Gold, 8 GB)","₹6,990","₹8,990"
"Samsung Galaxy On5 (Black, 8 GB)","₹6,990","₹8,990"
"Samsung Galaxy Core Prime 4G (White, 8 GB)","₹6,999",
"Samsung Galaxy Grand Quattro (Ceramic White, 8 GB)","₹6,999",
"Samsung Galaxy Grand Neo Plus (Midnight Black, 8 GB)","₹6,999",
"Samsung Galaxy Grand Neo Plus (Gold, 8 GB)","₹6,999",
"Samsung Galaxy Grand Neo Plus (White, 8 GB)","₹7,000",
"Samsung Galaxy J2 - 2016 (Silver, 8 GB)","₹7,200",
"Samsung Galaxy J2 (Gold, 8 GB)","₹7,400",
"Samsung Galaxy J2 (Black, 8 GB)","₹7,400",
"Samsung Galaxy Pocket Neo (Metallic Silver, 4 GB)","₹7,473",
"Samsung Galaxy J7 - 6 (New 2016 Edition) (Black, 16 GB)","₹7,490","₹13,800"
"Samsung Galaxy J1 (4G) (Gold, 8 GB)","₹7,550",
"Samsung Galaxy J1 (4G) (White, 8 GB)","₹7,550",
,,
,,
,,
,,
"Samsung Galaxy J4 Plus (Blue, 32 GB)","₹8,490","₹9,000"
"Samsung Galaxy E5 (White, 16 GB)","₹8,490","₹9,999"
"Samsung Galaxy J3 Pro (Black, 16 GB)","₹8,490",
"Samsung Galaxy A3 (Champagne Gold, 16 GB)","₹8,490",
"Samsung Grand Prime (Grey, 8 GB)","₹8,500",
"Samsung Galaxy Grand Prime 4g (White, 8 GB)","₹8,990",
"Samsung Galaxy On Max (Black, 32 GB)","₹8,990","₹16,900"
"Samsung Galaxy J5 (Gold, 8 GB)","₹8,999","₹12,834"
"Samsung Galaxy Grand I9082 (Metallic Blue, 8 GB)","₹8,999",
"Samsung Galaxy Grand 2 (White, 8 GB)","₹9,590",
"Samsung Galaxy E5 (Black, 16 GB)","₹9,890",
"Samsung Galaxy A3 (Pearl White, 16 GB)","₹9,990",
"Samsung Galaxy Grand 2 (Black, 8 GB)","₹9,999",
"Samsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)","₹10,990",
"Samsung Galaxy J5 - 6 (New 2016 Edition) (Black, 16 GB)","₹10,990",
"Samsung Galaxy Note 3 Neo (White, 16 GB)","₹11,250",
"Samsung Galaxy J5 (White, 8 GB)","₹11,390",
"Samsung Galaxy J7 (Gold, 16 GB)","₹11,700",
"Samsung Galaxy J7 (Black, 16 GB)","₹11,700",
"Samsung Galaxy J7 (White, 16 GB)","₹11,700",
"Samsung Galaxy S3 Neo (Black, 16 GB)","₹11,722",
"Samsung Galaxy J7 Prime 2 (Black, 32 GB)","₹11,990","₹14,990"
"Samsung Galaxy Mega 5.8 (White, 8 GB)","₹12,500",
"Samsung Galaxy Mega 5.8 (Black, 8 GB)","₹12,500",
,,
,,
,,
,,
"Samsung Galaxy S4 (Deep Black, 16 GB)","₹15,999",
"Samsung Galaxy E7 (Black, 16 GB)","₹16,200",
"Samsung Galaxy Folder 2 (Wine Red, 16 GB)","₹16,400",
"Samsung Galaxy A5 (Champagne Gold, 16 GB)","₹16,470",
"Samsung Galaxy A5 (Pearl White, 16 GB)","₹16,490",
"Samsung Galaxy A5 (Midnight Black, 16 GB)","₹16,490",
"Samsung Galaxy A7 2016 Edition (Black, 16 GB)","₹16,499",
"Samsung Galaxy A8 (Black, 32 GB)","₹16,999",
"Samsung Galaxy Folder 2 (Black, 16 GB)","₹16,999",
"Samsung Galaxy E7 (Blue, 16 GB)","₹17,050",
"Samsung Galaxy Mega 2 (White, 8 GB)","₹17,450",
"Samsung Galaxy A7 2016 Edition (White, 16 GB)","₹17,490",
"Samsung Galaxy Mega 2 (Brown, Black, 16 GB)","₹17,950",
"Samsung Galaxy Note 3 (Jet Black, 32 GB)","₹18,999",
"Samsung Galaxy Grand Duos (Elegant White, 8 GB)","₹19,521",
"Samsung Galaxy M30 (Gradation Blue, 128 GB)","₹19,590",
"Samsung Galaxy A9 Pro (Gold, 32 GB)","₹19,980",
"Samsung Galaxy A7 (Pearl White, 16 GB)","₹19,990",
"Samsung Galaxy Alpha (Charcoal Black, 32 GB)","₹19,999",
"Samsung Galaxy A9 Pro (White, 32 GB)","₹19,999",
"Samsung Galaxy Alpha (Dazzling White, 32 GB)","₹19,999",
"Samsung Galaxy A8 (White, 32 GB)","₹19,999",
"Samsung Galaxy S7 (Silver Titanium, 32 GB)","₹21,990",
"Samsung Galaxy S5 (Copper Gold, 16 GB)","₹21,999",
,,
,,
,,
,,
"Samsung Galaxy S6 (Black Sapphire, 32 GB)","₹27,900",
"Samsung Galaxy Note 4 (Frost White, 32 GB)","₹27,990",
"Samsung Galaxy Note Edge (Charcoal Black, 32 GB)","₹29,950",
"Samsung Galaxy S7 Edge (Blue Coral, 32 GB)","₹29,990",
"Samsung Galaxy S7 Edge (Silver Titanium, 32 GB)","₹29,990","₹41,900"
"Samsung Galaxy S7 Edge (Black Onyx, 32 GB)","₹29,990","₹41,900"
"Samsung Galaxy Note 4 (Blossom Pink, 32 GB)","₹29,999",
"Samsung Galaxy S6 Edge (Gold Platinum, 64 GB)","₹29,999","₹55,000"
"Samsung Galaxy S6 (Gold Platinum, 32 GB)","₹29,999",
"Samsung Galaxy Note Edge (Frost White, 32 GB)","₹30,000",
"Samsung Galaxy Note 3 (Blush Pink, 32 GB)","₹30,488",
"Samsung Galaxy Note 5 (Black Sapphire, 32 GB)","₹30,495",
"Samsung Galaxy S8 (Maple Gold, 64 GB)","₹30,990","₹49,990"
"Samsung Galaxy S8 (Midnight Black, 64 GB)","₹30,990","₹49,990"
"Samsung Galaxy Note 4 (Bronze Gold, 32 GB)","₹30,999",
"Samsung Galaxy C9 Pro (Black, 64 GB)","₹31,900",
"Samsung Galaxy C9 Pro (Gold, 64 GB)","₹31,900",
"Samsung Galaxy Note 5 32GB Single Sim - Silver (Silver, 32 GB)","₹32,000",
"Samsung Galaxy S6 (Blue Topaz, 32 GB)","₹32,750",
"Samsung Galaxy S8 (Burgundy Red, 64 GB)","₹34,990","₹49,990"
"Samsung Galaxy Note 5 (black sapphire, 32 GB)","₹34,999",
"Samsung Galaxy Note 5 (Dual Sim) (Black Sapphire, 32 GB)","₹34,999",
"Samsung Galaxy Note 5 (Dual Sim) (Gold Platinum, 32 GB)","₹34,999",
"Samsung Galaxy Note 5 64GB Single Sim - Gold (Gold, 64 GB)","₹35,900",
,,
,,
,,
,,
"Samsung Galaxy S9 (Lilac Purple, 128 GB)","₹61,900",
"Samsung Galaxy S9 Plus (Coral Blue, 128 GB)","₹68,900",
"Samsung Galaxy S9 Plus (Lilac Purple, 128 GB)","₹68,900",
"Samsung Galaxy S9 Plus (Sunrise Gold, 128 GB)","₹68,900",
"Samsung Galaxy S9 Plus (Midnight Black, 128 GB)","₹68,900",
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
